Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
10025666,CHOLERA_0000000003,COUNTRY,NGA,AFR,YEAR,Africa,,1979,,,,,,,,1.37,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
10026249,CHOLERA_0000000003,COUNTRY,RUS,EUR,YEAR,Europe,,2012,,,,,,,,0,0.0,,,,2013-10-03T09:19:15+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
10033996,CHOLERA_0000000003,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,2008,,,,,,,,1.25,,,,,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
10035926,CHOLERA_0000000003,COUNTRY,TCD,AFR,YEAR,Africa,,1998,,,,,,,,3.52,,,,,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
10041608,CHOLERA_0000000003,COUNTRY,GBR,EUR,YEAR,Europe,,1992,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
10055961,CHOLERA_0000000003,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,1979,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
10059144,CHOLERA_0000000003,COUNTRY,IND,SEAR,YEAR,South-East Asia,,2016,,,,,,,,0.4,0.35672,,,,2017-08-23T09:37:24+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
10059690,CHOLERA_0000000003,COUNTRY,KWT,EMR,YEAR,Eastern Mediterranean,,1979,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
10063725,CHOLERA_0000000003,COUNTRY,TZA,AFR,YEAR,Africa,,1992,,,,,,,,11.73,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
10072058,CHOLERA_0000000003,COUNTRY,CHL,AMR,YEAR,Americas,,1997,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
