Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5889094,CHOLERA_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,,1996,,,,,,,,291,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
5892288,CHOLERA_0000000001,COUNTRY,THA,SEAR,YEAR,South-East Asia,,2011,,,,,,,,279,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5910347,CHOLERA_0000000001,COUNTRY,KOR,WPR,YEAR,Western Pacific,,1991,,,,,,,,113,,,,,2013-06-11T14:04:28+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
5917846,CHOLERA_0000000001,COUNTRY,DZA,AFR,YEAR,Africa,,1975,,,,,,,,1165,,,,,2013-06-11T14:04:28+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
5927419,CHOLERA_0000000001,COUNTRY,ZMB,AFR,YEAR,Africa,,2001,,,,,,,,3109,,,,,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5930891,CHOLERA_0000000001,COUNTRY,MWI,AFR,YEAR,Africa,,1973,,,,,,,,371,,,,,2013-06-11T14:04:28+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
5934343,CHOLERA_0000000001,COUNTRY,LBR,AFR,YEAR,Africa,,1994,,,,,,,,764,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
5935754,CHOLERA_0000000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,,1968,,,,,,,,22587,,,,,2013-06-11T14:04:28+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
5948765,CHOLERA_0000000001,COUNTRY,MYS,WPR,YEAR,Western Pacific,,1984,,,,,,,,67,,,,,2013-06-11T14:04:28+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
5949675,CHOLERA_0000000001,COUNTRY,SGP,WPR,YEAR,Western Pacific,,1997,,,,,,,,19,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
