Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6728736,CHOLERA_0000000002,COUNTRY,COD,AFR,YEAR,Africa,,,1995,,,,,,,22,22.0,,,,2013-06-11T14:01:25+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6733690,CHOLERA_0000000002,COUNTRY,CMR,AFR,YEAR,Africa,,,2012,,,,,,,5,5.0,,,,2013-10-03T09:19:02+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6733855,CHOLERA_0000000002,COUNTRY,ITA,EUR,YEAR,Europe,,,1977,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
6738269,CHOLERA_0000000002,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,1993,,,,,,,23,23.0,,,,2013-06-11T14:01:25+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6746049,CHOLERA_0000000002,COUNTRY,MRT,AFR,YEAR,Africa,,,2005,,,,,,,70,70.0,,,,2013-06-11T14:01:25+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6746409,CHOLERA_0000000002,COUNTRY,ZMB,AFR,YEAR,Africa,,,2002,,,,,,,12,12.0,,,,2013-06-11T14:01:25+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6749897,CHOLERA_0000000002,COUNTRY,STP,AFR,YEAR,Africa,,,2005,,,,,,,33,33.0,,,,2013-06-11T14:01:25+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6750140,CHOLERA_0000000002,COUNTRY,MRT,AFR,YEAR,Africa,,,2007,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6752115,CHOLERA_0000000002,COUNTRY,UGA,AFR,YEAR,Africa,,,1992,,,,,,,104,104.0,,,,2013-06-11T14:01:25+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6755117,CHOLERA_0000000002,COUNTRY,TZA,AFR,YEAR,Africa,,,1984,,,,,,,338,338.0,,,,2013-06-11T14:01:25+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
6755959,CHOLERA_0000000002,COUNTRY,MWI,AFR,YEAR,Africa,,,2007,,,,,,,5,5.0,,,,2013-06-11T14:01:25+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
